cell_id,step,x,y,replicate
2,23,130,65,0
3,23,175,83,0
4,23,192,54,0
5,23,165,63,0
6,23,111,117,0
7,23,184,184,0
8,23,168,129,0
9,23,57,26,0
10,23,138,27,0
11,23,65,183,0
12,23,133,179,0
13,23,80,92,0
14,23,64,161,0
15,23,152,189,0
16,23,33,168,0
17,23,147,142,0
18,23,101,99,0
19,23,142,126,0
20,23,12,181,0
21,23,8,174,0
22,23,30,109,0
23,23,186,180,0
24,23,33,173,0
25,23,138,57,0
26,23,77,113,0
27,23,189,25,0
28,23,61,152,0
29,23,122,67,0
30,23,133,135,0
31,23,37,46,0
32,23,192,179,0
33,23,138,166,0
34,23,127,115,0
35,23,93,16,0
36,23,151,193,0
37,23,141,22,0
38,23,39,140,0
39,23,65,108,0
40,23,40,27,0
41,23,29,181,0
42,23,100,100,0
43,23,69,166,0
44,23,100,101,0
45,23,47,150,0
46,23,39,87,0
47,23,87,191,0
48,23,47,71,0
49,23,59,157,0
0,24,180,167,0
1,24,94,67,0
2,24,130,65,0
3,24,175,83,0
4,24,192,54,0
5,24,165,63,0
6,24,111,117,0
7,24,184,184,0
8,24,168,129,0
9,24,57,26,0
10,24,138,27,0
11,24,65,183,0
12,24,133,179,0
13,24,80,92,0
14,24,64,161,0
15,24,152,189,0
16,24,33,168,0
17,24,147,142,0
18,24,99,101,0
19,24,142,126,0
20,24,12,181,0
21,24,8,174,0
22,24,30,109,0
23,24,186,180,0
24,24,33,173,0
25,24,138,57,0
26,24,77,113,0
27,24,189,25,0
28,24,61,152,0
29,24,122,67,0
30,24,133,135,0
31,24,37,46,0
32,24,192,179,0
33,24,138,166,0
34,24,127,115,0
35,24,93,16,0
36,24,151,193,0
37,24,141,22,0
38,24,39,140,0
39,24,65,108,0
40,24,40,27,0
41,24,29,181,0
42,24,100,100,0
43,24,69,166,0
44,24,100,99,0
45,24,47,150,0
46,24,39,87,0
47,24,87,191,0
48,24,47,71,0
49,24,59,157,0
0,25,180,167,0
1,25,94,67,0
2,25,130,65,0
3,25,175,83,0
4,25,192,54,0
5,25,165,63,0
6,25,111,117,0
7,25,184,184,0
8,25,168,129,0
9,25,57,26,0
10,25,138,27,0
11,25,65,183,0
12,25,133,179,0
13,25,80,92,0
14,25,64,161,0
15,25,152,189,0
16,25,33,168,0
17,25,147,142,0
18,25,101,99,0
19,25,142,126,0
20,25,12,181,0
21,25,8,174,0
22,25,30,109,0
23,25,186,180,0
24,25,33,173,0
25,25,138,57,0
26,25,77,113,0
27,25,189,25,0
28,25,61,152,0
29,25,122,67,0
30,25,133,135,0
31,25,37,46,0
32,25,192,179,0
33,25,138,166,0
34,25,127,115,0
35,25,93,16,0
36,25,151,193,0
37,25,141,22,0
38,25,39,140,0
39,25,65,108,0
40,25,40,27,0
41,25,29,181,0
42,25,100,100,0
43,25,69,166,0
44,25,100,101,0
45,25,47,150,0
46,25,39,87,0
47,25,87,191,0
48,25,47,71,0
49,25,59,157,0
0,26,180,167,0
1,26,94,67,0
2,26,130,65,0
3,26,175,83,0
4,26,192,54,0
5,26,165,63,0
6,26,111,117,0
7,26,184,184,0
8,26,168,129,0
9,26,57,26,0
10,26,138,27,0
11,26,65,183,0
12,26,133,179,0
13,26,80,92,0
14,26,64,161,0
15,26,152,189,0
16,26,33,168,0
17,26,147,142,0
18,26,99,101,0
19,26,142,126,0
20,26,12,181,0
21,26,8,174,0
22,26,30,109,0
23,26,186,180,0
24,26,33,173,0
25,26,138,57,0
26,26,77,113,0
27,26,189,25,0
28,26,61,152,0
29,26,122,67,0
30,26,133,135,0
31,26,37,46,0
32,26,192,179,0
33,26,138,166,0
34,26,127,115,0
35,26,93,16,0
36,26,151,193,0
37,26,141,22,0
38,26,39,140,0
39,26,65,108,0
40,26,40,27,0
41,26,29,181,0
42,26,100,100,0
43,26,69,166,0
44,26,100,99,0
45,26,47,150,0
46,26,39,87,0
47,26,87,191,0
48,26,47,71,0
49,26,59,157,0
0,27,180,167,0
1,27,94,67,0
2,27,130,65,0
3,27,175,83,0
4,27,192,54,0
5,27,165,63,0
6,27,111,117,0
7,27,184,184,0
8,27,168,129,0
9,27,57,26,0
10,27,138,27,0
11,27,65,183,0
12,27,133,179,0
13,27,80,92,0
14,27,64,161,0
15,27,152,189,0
16,27,33,168,0
17,27,147,142,0
18,27,101,99,0
19,27,142,126,0
20,27,12,181,0
21,27,8,174,0
22,27,30,109,0
23,27,186,180,0
24,27,33,173,0
25,27,138,57,0
26,27,77,113,0
27,27,189,25,0
28,27,61,152,0
29,27,122,67,0
30,27,133,135,0
31,27,37,46,0
32,27,192,179,0
33,27,138,166,0
34,27,127,115,0
35,27,93,16,0
36,27,151,193,0
37,27,141,22,0
38,27,39,140,0
39,27,65,108,0
